Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,MVP,DPOY,ROY,MIP,CPOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,6MOY
Paul Arizin,1,713,27213.4,82.3,26.7,108.8,0.0,19.635,0.506,0.169,0.469,2.428,0.179,0.686,1.576,0.985,1.713,0.342,0.246,1.81,0.229,0.213,0.274,0,0,0,0,0,9,0,0,3,1,0,0
Neil Johnston,1,516,18298.0,74.0,18.2,92.0,0.0,24.874,0.533,0.241,0.602,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0,0,0,0,0,6,0,0,4,1,0,0
George Yardley,1,472,15767.0,43.0,15.5,58.5,0.0,20.61,0.498,0.178,0.454,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0,0,0,0,0,6,0,0,1,1,0,0
Bob Pettit,1,792,30690.0,91.7,44.4,136.1,0.0,25.45,0.51,0.145,0.48,8.891,0.213,2.919,6.884,4.645,5.196,0.682,0.674,5.394,0.839,0.25,0.953,2,0,1,0,0,11,0,0,10,1,0,0
Frank Ramsey,1,623,15330.0,23.8,25.5,49.1,0.0,15.576,0.48,0.122,0.427,7.225,0.154,1.989,5.083,3.486,5.315,0.606,0.584,4.827,0.275,0.283,0.444,0,0,0,0,0,0,0,0,0,0,0,0
Jack Twyman,1,823,26147.0,59.6,15.4,75.1,0.0,17.798,0.502,0.098,0.309,9.263,0.138,2.403,5.565,3.476,6.59,0.815,0.673,6.226,0.543,0.171,0.624,0,0,0,0,0,6,0,0,0,2,0,0
Cliff Hagan,1,745,21731.0,53.2,21.8,75.0,0.0,19.532,0.505,0.12,0.322,11.053,0.166,3.398,8.026,5.497,6.844,0.963,0.884,7.304,0.62,0.452,0.969,0,0,0,0,0,5,0,0,0,2,0,0
Richie Guerin,1,848,27449.0,49.4,19.9,69.2,0.0,17.299,0.492,0.056,0.451,12.116,0.121,3.516,8.882,5.497,10.121,0.898,0.946,8.422,0.884,0.213,1.046,0,0,0,0,0,6,0,0,0,3,0,0
Tom Heinsohn,1,654,19254.0,18.3,41.7,59.8,0.0,17.883,0.459,0.094,0.286,8.395,0.15,2.737,6.093,3.685,7.203,0.846,0.544,6.327,0.582,0.255,0.748,0,0,1,0,0,6,0,0,0,4,0,0
Sam Jones,1,871,24285.0,48.5,43.6,92.4,0.0,18.693,0.503,0.054,0.26,17.107,0.182,5.669,12.12,7.778,12.578,1.359,1.28,11.906,1.456,0.282,1.687,0,0,0,0,0,5,0,0,0,3,0,0
Elgin Baylor,1,846,33863.0,63.5,40.6,104.1,0.0,22.712,0.494,0.06,0.365,17.99,0.148,5.215,13.008,7.815,11.755,1.162,1.449,10.44,1.586,0.279,1.818,0,0,1,0,0,11,0,0,10,0,0,0
Guy Rodgers,1,892,28663.0,-5.2,38.6,33.1,0.0,13.554,0.424,0.032,0.276,17.864,0.056,4.365,10.694,6.928,21.124,1.236,0.867,10.055,1.262,0.029,1.28,0,0,0,0,0,4,0,0,0,0,0,0
Hal Greer,1,1122,39788.0,64.9,37.8,102.7,0.0,15.666,0.505,0.035,0.301,19.791,0.124,5.583,13.384,8.632,13.658,1.352,1.282,12.014,1.812,0.313,2.106,0,0,0,0,0,10,0,0,0,7,0,0
K.C. Jones,1,676,17501.0,0.7,37.8,38.8,0.0,10.465,0.437,0.033,0.371,15.72,0.106,5.199,12.445,8.328,15.466,1.594,1.241,12.854,1.452,0.676,2.136,0,0,0,0,0,0,0,0,0,0,0,0
