Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
1951-1952,Ed Macauley*,3,129.0,25.4,0.61,0.251,0.388,0.251,0.251,0.251,20.9,0.251,0.251,0.251,0.251,0.6,0.1,0.7,0.251,0.251,0.251,0.251,,0,1
1951-1952,George Mikan*,13,553.0,27.6,0.477,0.206,0.529,0.206,0.206,0.206,15.7,0.206,0.206,0.206,0.206,0.9,1.5,2.4,0.206,0.206,0.206,0.206,,0,1
1951-1952,Jim Pollard*,11,469.0,16.2,0.454,0.096,0.289,0.096,0.096,0.096,15.8,0.096,0.096,0.096,0.096,0.2,0.7,0.9,0.096,0.096,0.096,0.096,,0,1
1951-1952,Joe Fulks*,3,70.0,-3.7,0.23,-0.398,0.273,-0.398,-0.398,-0.398,5.7,-0.398,-0.398,-0.398,-0.398,-0.5,0.0,-0.6,-0.398,-0.398,-0.398,-0.398,,0,1
1951-1952,Neil Johnston*,3,32.0,21.2,0.592,0.171,0.8,0.171,0.171,0.171,7.6,0.171,0.171,0.171,0.171,0.1,0.0,0.1,0.171,0.171,0.171,0.171,,0,1
1951-1952,Paul Arizin*,3,120.0,29.5,0.57,0.198,0.623,0.198,0.198,0.198,18.0,0.198,0.198,0.198,0.198,0.6,-0.1,0.5,0.198,0.198,0.198,0.198,,0,1
1951-1952,Slater Martin*,13,523.0,9.4,0.434,0.068,0.509,0.068,0.068,0.068,20.5,0.068,0.068,0.068,0.068,0.0,0.7,0.7,0.068,0.068,0.068,0.068,,0,1
1952-1953,Bob Cousy*,6,270.0,22.7,0.503,0.166,0.608,0.166,0.166,0.166,37.8,0.166,0.166,0.166,0.166,0.9,0.1,0.9,0.166,0.166,0.166,0.166,,0,1
1952-1953,Bob Davies*,3,91.0,9.0,0.344,-0.022,0.69,-0.022,-0.022,-0.022,41.4,-0.022,-0.022,-0.022,-0.022,-0.2,0.2,0.0,-0.022,-0.022,-0.022,-0.022,,0,1
1952-1953,Carl Braun*,11,374.0,13.2,0.424,0.046,0.462,0.046,0.046,0.046,18.0,0.046,0.046,0.046,0.046,0.0,0.3,0.4,0.046,0.046,0.046,0.046,,0,1
1952-1953,Chuck Cooper*,6,195.0,14.0,0.501,0.093,0.563,0.093,0.093,0.093,16.5,0.093,0.093,0.093,0.093,0.3,0.0,0.4,0.093,0.093,0.093,0.093,,0,1
