Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,6MOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,MVP,DPOY,ROY,MIP,CPOY,HOF
1996-1997,Grant Long,65,1166.0,12.2,0.523,0.171,0.305,9.6,14.0,11.8,5.5,2.1,0.4,13.3,15.3,1.1,1.5,2.6,0.107,-1.0,0.3,-0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Anderson,82,1659.0,11.4,0.531,0.004,0.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,0.7,1.5,2.2,0.064,-3.6,0.1,-3.5,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Anthony,65,1863.0,16.6,0.526,0.469,0.351,1.5,10.0,5.7,36.1,3.8,0.2,18.1,17.8,2.3,1.2,3.5,0.09,0.9,0.5,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Dreiling,40,389.0,7.3,0.466,0.014,0.365,5.6,17.3,11.3,4.5,1.1,1.4,9.5,11.2,0.0,0.3,0.4,0.045,-5.4,0.2,-5.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Foster,79,920.0,8.4,0.508,0.012,0.265,8.1,16.8,12.7,5.0,0.6,1.8,16.5,16.5,0.0,1.0,1.0,0.054,-4.4,-1.0,-5.4,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Graham,28,197.0,12.6,0.476,0.388,0.5,1.2,6.7,4.0,9.2,3.2,0.4,9.3,25.0,0.0,0.3,0.3,0.065,-3.5,-1.1,-4.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Minor,23,547.0,13.2,0.519,0.041,0.184,5.9,11.4,8.4,10.4,1.4,0.3,9.4,18.3,0.6,0.1,0.6,0.056,-0.6,-1.4,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Greg Ostertag,77,1818.0,15.3,0.561,0.01,0.502,13.1,24.9,19.4,2.2,0.7,7.0,12.9,14.6,2.6,3.3,5.9,0.156,-0.9,0.7,-0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Hakeem Olajuwon,78,2852.0,22.7,0.558,0.011,0.313,7.4,21.0,14.5,16.2,2.1,4.5,14.8,30.4,3.5,5.6,9.1,0.154,1.5,2.0,3.5,3.9,0,1,0,1,1,0,0,0,0,0,0,0,1
1996-1997,Harvey Grant,78,1604.0,8.8,0.477,0.283,0.124,4.7,13.9,9.3,5.8,1.5,2.2,8.3,10.1,0.8,1.9,2.7,0.081,-2.3,1.4,-0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Haywoode Workman,4,81.0,11.0,0.538,0.15,0.05,6.0,4.3,5.2,23.4,2.0,0.0,19.7,14.5,0.1,0.1,0.1,0.076,-1.4,0.7,-0.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Henry James,53,945.0,10.2,0.553,0.592,0.118,3.5,6.7,5.1,3.8,0.6,0.1,8.3,17.5,1.3,0.7,2.0,0.103,-0.4,-1.7,-2.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Herb Williams,21,184.0,7.0,0.408,0.022,0.087,6.1,13.9,10.1,4.3,1.2,2.2,9.5,13.2,-0.1,0.3,0.2,0.051,-4.1,0.6,-3.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Hersey Hawkins,82,2755.0,17.6,0.616,0.447,0.371,4.0,10.0,7.0,14.6,3.1,0.4,12.3,17.5,7.0,3.9,10.9,0.19,2.8,1.4,4.2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Horace Grant,67,2496.0,17.3,0.546,0.009,0.258,9.4,19.0,14.1,11.4,2.2,2.0,11.3,16.1,4.1,3.6,7.7,0.148,1.1,1.3,2.4,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Horacio Llamas,20,101.0,10.5,0.539,0.0,0.286,4.7,16.1,10.4,6.2,5.1,3.7,25.9,19.0,-0.2,0.2,0.0,0.019,-7.8,3.7,-4.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Hot Rod Williams,68,2137.0,13.8,0.538,0.005,0.476,9.8,20.8,15.4,6.7,1.6,3.1,11.6,12.0,2.8,2.5,5.3,0.119,-0.6,0.6,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Howard Eisley,82,1083.0,11.1,0.53,0.234,0.289,2.4,7.0,4.8,27.7,2.2,0.8,24.1,19.6,0.1,1.1,1.2,0.052,-2.0,-0.3,-2.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Hubert Davis,36,623.0,7.4,0.466,0.38,0.125,2.0,5.6,3.8,8.9,0.9,0.3,9.8,15.5,0.0,0.1,0.1,0.01,-3.2,-1.6,-4.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Isaac Austin,82,1881.0,14.2,0.536,0.005,0.354,8.7,21.2,15.1,9.9,1.3,1.8,17.9,22.5,0.3,3.7,4.0,0.102,-2.5,0.8,-1.7,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0
1996-1997,Isaiah Rider,76,2563.0,13.8,0.557,0.261,0.266,4.5,9.4,7.0,13.4,0.9,0.6,16.2,23.0,2.6,2.4,5.0,0.093,0.4,-1.1,-0.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Ivano Newbill,72,850.0,6.7,0.439,0.0,0.571,10.9,17.6,14.3,4.3,1.8,1.4,26.9,8.7,-0.4,1.4,1.1,0.06,-4.5,1.1,-3.4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jack Haley,20,74.0,19.6,0.441,0.0,0.514,17.9,29.5,23.4,11.6,0.7,1.0,4.2,27.3,0.2,0.1,0.2,0.149,-0.2,-3.3,-3.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jalen Rose,66,1188.0,13.8,0.541,0.191,0.414,2.8,9.3,6.1,22.9,2.6,1.2,19.4,21.5,0.6,1.5,2.1,0.086,-0.8,1.1,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jamal Mashburn,69,2164.0,12.6,0.487,0.373,0.307,3.8,12.2,8.0,16.3,2.0,0.4,11.9,20.6,1.0,2.6,3.6,0.081,-1.0,0.2,-0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,James Robinson,69,1309.0,12.7,0.537,0.554,0.237,2.2,7.9,5.1,16.2,1.2,0.5,11.5,21.0,1.3,0.6,1.9,0.071,0.3,-1.4,-1.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,James Scott,8,32.0,-4.1,0.056,0.5,0.25,3.8,18.2,11.1,13.2,3.4,0.0,18.4,16.0,-0.2,0.1,-0.1,-0.187,-14.0,0.9,-13.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jamie Feick,41,624.0,11.1,0.405,0.089,0.427,15.3,26.3,20.6,6.6,1.4,1.8,14.3,16.2,-0.3,0.5,0.2,0.016,-3.5,-2.3,-5.8,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jamie Watson,23,340.0,10.4,0.493,0.167,0.222,6.3,10.1,8.3,15.2,3.5,1.0,23.3,14.0,-0.1,0.4,0.3,0.046,-2.4,2.2,-0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jaren Jackson,75,1133.0,10.1,0.52,0.48,0.21,3.2,10.3,6.8,8.3,2.1,1.1,14.3,16.6,0.3,1.3,1.6,0.067,-2.1,0.7,-1.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jason Caffey,75,1405.0,14.3,0.574,0.003,0.548,11.0,13.1,12.1,9.3,0.9,0.5,16.9,18.3,2.2,1.7,3.9,0.134,-1.2,-1.2,-2.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jason Kidd,55,1964.0,16.9,0.498,0.312,0.312,3.8,11.0,7.4,38.9,3.3,0.8,19.1,17.2,2.3,2.0,4.4,0.107,1.2,0.7,1.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1
1996-1997,Jason Sasser,8,69.0,5.8,0.413,0.13,0.0,1.7,12.6,6.9,5.0,2.4,0.0,8.0,16.8,-0.1,0.0,0.0,-0.032,-6.3,-0.3,-6.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Jayson Williams,41,1432.0,15.0,0.443,0.007,0.339,17.3,25.0,20.9,5.9,0.9,1.9,11.7,20.9,0.4,1.3,1.7,0.057,-1.5,-2.7,-4.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
