Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,Final MVP
Lenny Wilkens*,1,64,2403.0,2.2,2.2,4.3,0.0,14.253,0.478,0.027,0.453,18.885,0.086,4.544,12.657,8.477,21.751,1.113,0.949,11.652,1.205,0.14,1.344,0
Oscar Robertson*,1,86,3673.0,10.0,3.6,13.6,0.5,20.997,0.54,0.018,0.429,22.635,0.178,4.81,10.52,7.567,29.451,1.694,1.095,13.439,2.506,-0.03,2.483,0
Chet Walker*,1,105,3688.0,7.2,2.9,10.1,1.2,16.43,0.524,0.02,0.453,23.348,0.133,5.506,13.33,10.944,8.567,1.661,1.041,13.094,2.334,0.031,2.39,0
Dave DeBusschere*,1,96,3682.0,0.1,5.3,5.5,0.1,15.021,0.454,0.019,0.255,22.394,0.073,6.183,15.381,12.736,9.725,1.511,1.531,13.782,1.762,0.045,1.819,0
John Havlicek*,1,172,6860.0,11.0,8.3,19.2,2.6,17.52,0.5,0.02,0.317,22.935,0.135,5.567,13.575,10.6,17.771,1.525,1.059,12.892,2.85,0.186,3.039,1
Zelmo Beaty*,1,63,2345.0,4.2,2.3,6.5,0.0,15.547,0.526,0.015,0.465,21.673,0.133,6.613,16.236,11.354,6.147,1.3,1.57,13.07,1.782,-0.019,1.774,0
Jerry Lucas*,1,72,2370.0,3.2,1.6,4.9,0.0,16.04,0.503,0.021,0.254,22.34,0.099,7.359,17.18,12.181,12.981,1.75,1.473,13.796,2.578,0.828,3.393,0
Nate Thurmond*,1,81,2875.0,0.6,4.8,5.5,0.7,15.203,0.459,0.021,0.421,21.934,0.09,6.764,16.412,14.186,11.363,1.403,2.1,14.065,1.861,0.677,2.519,0
Gus Johnson*,1,34,1125.0,0.0,1.4,1.3,0.0,13.846,0.453,0.025,0.294,22.042,0.059,8.066,19.974,14.215,9.658,1.194,2.176,13.526,1.582,0.868,2.421,0
Walt Bellamy*,1,46,1939.0,3.0,2.0,4.6,0.0,16.828,0.516,0.022,0.461,22.514,0.116,6.781,15.449,11.843,9.319,1.427,1.809,13.793,2.133,0.319,2.457,0
Billy Cunningham*,1,39,1217.0,1.3,0.7,2.2,0.0,18.351,0.48,0.03,0.389,22.48,0.082,6.321,14.548,12.414,15.237,1.611,1.577,12.512,2.563,0.271,2.844,0
